,count,hate_speech,offensive_language,neither,class,tweet
3734,3,2,1,0,0,"@Jaytwofly huh, lol mad nigger is mad"
3758,3,2,1,0,0,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard
3761,3,2,1,0,0,@JimBoberson happy birthday faggot
3765,3,2,1,0,0,"@JizzAtTheScene and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days."
3776,3,2,1,0,0,@JoeDouglas1 I guess blaspheme to your Allah is ok if your pos muzzie huh? @JewJitsuGrl @efilnikcufecin7 @Darknight420
3777,3,3,0,0,0,@JoeDouglas1 sit down and stfu raghead @Darknight420 @hajihuntingpat
3783,3,3,0,0,0,@Joey_D26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag
3806,3,2,1,0,0,"@JuanYeeze damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?"
3807,3,2,1,0,0,"@JuanYeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull"
3827,3,2,1,0,0,@JungleFeverFren fuck u nigger
3859,3,3,0,0,0,@KLSouth @Miss_Didi23 is an evil hate whitey racist who thinks Delbert Belton deserved it. @MaryForbes14 @EnemiesofDonnaJ @StephAnnAnson
3867,3,2,1,0,0,@KamRenee ugly nigger
3886,3,2,1,0,0,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
3910,3,2,0,1,0,"@Ken_GTH nahh , whatever you are spook or spic, I still don't like you . Good day"
3914,3,2,1,0,0,@Kenny__Wright @itsfrankybitch @yoPapi_chulo so if your 17 and in high school you dont have your own house you fucking faggot
3925,3,2,1,0,0,@Kevin_McAdams Because Ian's retarded
3945,3,2,0,1,0,"@KingHov1313 i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week...."
3954,3,2,1,0,0,@King_Albert21 @Ceto_13 u pulled.that queer shit as spon as u put no homo lol
3971,6,4,2,0,0,"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri"
3982,7,6,1,0,0,@L1LTR4P fucking losers wetbacks #SorryNotSorry
4016,3,3,0,0,0,@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.
4020,3,2,1,0,0,@LeonBaptist idk you into mouthy spics on welfare with 6 kids and 3 baby daddy's?
4025,3,3,0,0,0,@Levi_Page I don't bend that way queer. Thanks for the offer it's flattering.
4026,3,3,0,0,0,@LexVan13 go back to nigeria faggot
4043,3,2,0,1,0,@Lil_A47 &#128514;&#128514;&#128514; you're a coon
4069,3,2,1,0,0,"@LobstrThinkTank Yeah! Me too. My people, the women, laff at the set apart men... they love the real niggas or niggers."
4071,3,2,0,1,0,"@LokiHulibele @mediacrooks @AamAadmiParty They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards"
4079,3,2,1,0,0,@Lovelesslovely @Kwitchabichen25 hey aklve! Im taking out the black ghetto trash. Youre blocked nigger
4135,3,3,0,0,0,@MakeAnothaHov T.o. was a faggot crybaby
4150,3,2,1,0,0,@MarianCristinax you a fag b
4157,3,3,0,0,0,@MarkHalperin @WSJopinion @BarackObama Anything to trash this black President!!
4167,3,3,0,0,0,@MattHomeTeam - you know what you did you faggot. There are literally thousands of people that have you on their radar homo
4169,3,2,1,0,0,@Matt_Petrie22 geta Life faggot
4180,3,3,0,0,0,@Maxwell_Larsen your a cunt
4187,3,2,1,0,0,@McwilliamsBrett shut your legs hoe
4198,3,3,0,0,0,@MenachemDreyfus @NatlFascist88 @waspnse Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!
4239,3,2,1,0,0,@MilesM_05 shut up coon.
4245,3,2,1,0,0,@MillerLite I don't follow you because everything about your company is white trash.
4246,3,2,1,0,0,@Mimistheone You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!
4247,3,2,1,0,0,@Mimistheone stop trolling me u creepy ass cracker!!!
4252,3,2,1,0,0,"@Misplaced_Momma 
She be what we say in da hood white trash"
4253,3,2,0,1,0,"@Misplaced_Momma 
Y&#8217;all whitey gots to PAY fo da preparations"
4275,3,2,1,0,0,@Montea_Rollin @kayysavage I wasn't serious bitch &#128514; bitch them niggas i named ain't fuccing witcho ass &#128514;&#128557; we all just making shit up &#128527;&#128553;
4278,3,2,1,0,0,@MorbidMermaid I swear to god nigger you better still hang with me before work. You got my hype
4279,3,2,1,0,0,@MorbidMermaid do you work today niglet?
4301,3,2,1,0,0,@MrMooncricket @AtBlackface @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ugly gay nigga bitch fucking peace of shit
4302,3,3,0,0,0,@MrMooncricket @FuckTheMallcops @AtBlackface @UncleUnco @BobbyBotsods @RacistNegro69 y'all is coons n uncle toms
4305,3,2,1,0,0,"@MrMooncricket @RacistNegro69 fuck you, stupid ass coward ass punk bitch faggot ass racist piece of shit. Punk. Bitch, ain't worth my time!"
4332,3,2,1,0,0,"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla..."
4345,3,2,1,0,0,@NOT_UR_BRO @niccol3_xo lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg
4356,3,2,1,0,0,"@NYRKelsMads @DaniloNavarro85 Hey fag, I said this was your aunts. *He* said it was you."
4373,3,3,0,0,0,@NatlFascist88 @waspnse Jews and white race traitors have to be swept clean so the Aryan race can survive.
4390,3,2,1,0,0,@Newser big fucking deal...cry baby niggers
4399,3,2,0,1,0,@Nien_Nunb what did you search? Gay redneck episode 1 play?
4425,3,2,1,0,0,@NotoriousBM95 @gezus__ @Rodriguez5_ your getting blocked faggot
4433,3,2,1,0,0,@NyJusDntGAF just like a nig to come home when ever they want
4442,3,2,1,0,0,@OG_HARM @moetzart @duckydynamo look at this nigger ass nigger shit right here
4453,3,2,1,0,0,@OVOtilUOverDose @flossinlawson11 niggers*
4459,3,3,0,0,0,@OfficialSkai dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.
4460,3,3,0,0,0,@OfficialSkaiS kill yourself ugly ass monkey looking shit
4466,3,2,1,0,0,@Ole_Boy @m10eezy yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant nig terms.
4484,3,2,1,0,0,@Oskzilla fuck you fag!
4485,3,2,1,0,0,@Oskzilla fuck you niggah you gay. Lol
4508,3,2,1,0,0,@PablyAndrew it was Paul McCartney faggot
4519,3,3,0,0,0,"@PatDollard Fuckin muzzie cunts, should all be deported, savages"
4521,3,2,0,1,0,@PatriotsOrg Screw the ragheads.
4524,3,2,1,0,0,@PaulMoon8 @yurista4life @justinmiculka01 you fuckin Yankees I'll be there in 2 months I'll meet you pussy
4526,3,2,1,0,0,@Pecan_B19 @ObeyMy_Realness dryer then them bad ass eyes of your fag
4553,3,2,1,0,0,@Po0pdogg back up faggot
4560,3,2,1,0,0,@PrayForJack new york niggas quick to take off on a bitch in public boy lol!!!!!
4569,3,2,1,0,0,@Princesslexii16 Fucking coon
4572,3,3,0,0,0,"@ProperEtacet fuck your mother, faggot"
4573,3,3,0,0,0,@Prophzilla I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +
4582,3,2,1,0,0,@QUAN1T0 You retarded bruh lol
4594,3,3,0,0,0,@Qui_ThePharaoh @zApollo0803 @MildlyDarkSkin hes a lying faggot. he used inspect element to change the number of dollars in his account.
4610,3,3,0,0,0,@RSBerto Dumb Haitian fake black faggots. Go to Haiti and neck yourself.
4611,3,2,1,0,0,@RabehChararah1 lmaoo what a fag
4644,3,2,1,0,0,@RedNationBlogga fuck those faggots
4646,3,2,1,0,0,@ReiddH i agree my fellow cracker.
4650,3,2,0,1,0,@RepGutierrez You are full of it! These so called children are not children. They are illegal border jumpers MS!# gang members.
4651,3,2,1,0,0,@RepulsiveTool And the only band that sucked worse live is those fags Guns &amp; Poses.
4659,3,2,1,0,0,"@ReverendGrim @TitsOfAnarchy 
I likes dat name. Dem sand niggers needs to know dare place in da pecker order"
4660,3,2,1,0,0,"@RevolutionUK_ Jesus I would love to do that and more to those muzzie torturers, fucking animal savages"
4666,3,2,1,0,0,@RichxInxFlavor I'm not a fag. Gtfo
4681,3,3,0,0,0,"@RileyCooper_14 so your a ""nigger"" fighter huh"
4686,3,2,1,0,0,@RniSwirvinn @LilKev_J no ur wrong stupid nigger
4708,3,2,1,0,0,"@Roscoedash lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy."
4721,3,2,1,0,0,@RunuldoRants faggot sack
4730,3,2,1,0,0,@RylannWilliams whooooo? Chelsey? Fuck her lol. She juss a bitch
4731,3,2,1,0,0,@SAMMI_boyden bruh we can finally roll like rednecks (': ((drug dealers))
4734,3,2,1,0,0,@SAMMI_boyden well he's a cunt and he can suck my ass
4743,3,3,0,0,0,@SMASEY you're such a faggot
4745,3,2,0,1,0,@SNAKEHAID @wsaleen15 @rducppp @2_Synnseer @rebelgirl2040 why ur profile a one armed nigger?
4751,3,2,1,0,0,"@STACCS_WNT_FOLD you tell me, coon."
4754,3,2,1,0,0,@S_Roach happy birthday nicca do coon shit in a responsible way.
4775,3,3,0,0,0,@Sammytbh whats your youtube channel then faggot
4782,3,2,0,1,0,@Sarakateee @FaZe_Rain I wouldn't be proud that faze is in your family. He's horrible for one and two he's ugly trailer trash... #fazeisgay
4794,3,3,0,0,0,"@SchulzGrayson @Dswizzle3 oh woulda coulda shoulda ass niggas bitch ass nigga, what u bout oh ban wagging ass nigga catch your phase"
4802,3,2,1,0,0,@ScoutingForFifa @TheBurntChip @JoelBurtFifa @JPizzleFIFA EYE WITNESS: Joel is a faggot
4815,3,2,1,0,0,@SexWith_SocksOn faggot
4825,3,2,1,0,0,@ShawnIrwin9 okay closet fag
4836,3,2,1,0,0,@Shmalec13 ya fag
4839,3,2,0,1,0,@Shvkxir @RickiRoma @BaeSongz @JayZOverrated Ahmed and retard mikey for special Olympic boxing
4852,3,2,1,0,0,@SlimGirl_Probz das calld usen yo brain retard y would i whoop yo ass n front of da police
4853,3,2,1,0,0,"@SlothNG i can guarantee a few things: you're white. you've never been anywhere NEAR a real ghetto. you, or a relative is a pig. 100%"
4863,3,3,0,0,0,"@SoftestMuffin @_tee13 @TorahBlaze Best believe We aint no christian slave brainwash black spooks miss white man, unlike yoself, she devil"
4864,3,2,1,0,0,"@SoftestMuffin @_tee13 @TorahBlaze at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. But u luv them white devils"
4866,3,2,1,0,0,"@SoftestMuffin @_tee13 @TorahBlaze will convince u that is a lame, you, a nigger liver believes it cuz you a nigger whore"
4867,3,2,1,0,0,@Soldier1eaODGrn I don't give a flying fuck what a teabagger piece of human garbage like you thinks =)
4868,3,2,1,0,0,@Soldier1eaODGrn you are a teabagger scum who wants to threaten people with his penis extender. You are a danger to this country.
4873,3,2,1,0,0,"@SophieRo3 if only there was a medal for that: ""we hate fags, but we won't kill them"" medal. Thank u for the privilege to let fags live."
4879,3,3,0,0,0,"@StanleyStinks Shame of you! Self-hating kike. 
We Jews are G-d's chosen people."
4880,3,2,1,0,0,@StarIsTheFuture you call @GOPBlackChick house nigger and she's the racist? Fathom the hypocrisy in that statement.
4884,3,2,1,0,0,"@StarkFreeOrDie ...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass, closet racist, wannabe-commune-without-railroad state&gt; #Cali"
4897,3,3,0,0,0,@StephyRae7 faggot.
4899,3,2,1,0,0,@StephyRae7 is the biggest faggot in the world
4901,3,2,1,0,0,"@Sterm26 @RealJamesWoods Just like when I call someone a nigger! It's not because they're black, it's about how they act. LIKE A NIGGER!"
4906,3,3,0,0,0,@SteveStockmanTX hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it. They love stupid people
4923,3,2,1,0,0,@Steven_ratata bye youre a queer
4929,3,2,1,0,0,@Stonisnipezz this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.
4952,3,2,1,0,0,@SweetKixx u see a lame in that pic ofmine due to your infatuation with niggers. Im Hebrew i fite the children of satan in the streets
4954,3,2,1,0,0,@SydneeSmalling fuck Miley tranny looking now damn ass nigga
4962,3,3,0,0,0,@THERACISTDOCTOR One less little nigger that would grow up into a big nigger.
4989,3,2,1,0,0,@Tanner_Harris_ I've been knowing fag
4997,6,4,2,0,0,@Taylor_1017 faggot
5058,3,2,1,0,0,@TheChicagoBaker @stopbeingfamous @RaniaKhalek do birds have a 72% out of wedlock rate? is it white fathers that are running away?
5065,3,2,1,0,0,@TheErniie You're a little bitch.
5076,3,3,0,0,0,"@TheKushZombie Aww y u so mad tho, a successful man LMFAO, hut hugging as faggot."
5102,3,2,1,0,0,@TheRealCVL and @CoryHolmes24 are faggots. Kbye.
5105,3,2,1,0,0,"@TheRealJRSmith And its people like you that give us all a bad name, you are a disgusting piece of shit of a person a nigger is what you are"
5129,3,2,1,0,0,"@The_Red_Sea @shetheTRUTHtho say that shit to my face ""Bruh"" you a bitch for gettin in a man u dont know business. Handle yo own shit"
5138,3,2,1,0,0,@TherealGeorgeZ you are a pussy without your guns bitch as spic. Your daddy doesn't even respect the sperm he drop in your moms stank pussy
5149,3,2,1,0,0,@TielerMLG @psvch @HalfAssed_ coming to the rescue of some retard licking dirty skidmarks on the internet... you guys are fucktards
5180,3,2,1,0,0,@TreTyler_108 That's actually non-English. Because #okiecops are filthy white trash who are all criminals.
5182,3,2,1,0,0,@TreyBizzy I thought you would like him cause of the Chi but yeah he a faggot
5208,3,2,1,0,0,@TweetfrmtheSole it&#8217;s the entire pats bandwagon. They&#8217;re faggots
5222,3,2,1,0,0,@UberFacts studies show that you're a faggot
5239,3,2,1,0,0,@Versanche only faggots drive stick
5241,3,2,1,0,0,@Vexda go jerk off to lollis faggot.
5248,3,2,1,0,0,@ViewFromBoxSeat She's a cunt
5250,3,2,0,1,0,@VinniePolitan kill the coons!!!!!!
5266,3,2,1,0,0,@WaTch_Scenario Yeah so you better play with me ya nigger
5272,3,2,1,0,0,@Walmart fuck your store bitch
5280,3,2,1,0,0,"@WendyDavisTexas @GregAbbott_TX So you support ""illegals"" coming here and spreading disease among Americans Dream that bitch!"
5295,3,3,0,0,0,@WhosJuly 1) He's a faggot and I don't like him. 2) I'm on the other side of the state.
5310,3,2,1,0,0,@Woody_AFC @MrGAM3R49 @MANIAC3X fuck outta here faggot that wouldn't even be a fair
5324,3,2,1,0,0,@WyattNuckels @grizzboadams shut the fuck up fag ill beat the shit outta you
5330,3,2,1,0,0,@WyattNuckels insecure much put all you insults in one tweet. Fucking dumbass dude I'd wreck you you faggot
5367,3,2,1,0,0,@YeIIowbang I hate that faggot he so corny
5385,3,2,1,0,0,@YourDudeFerg gay fags
5396,3,2,1,0,0,@YungRajee Shit ill pay the premium to get away from these anything ass hoes
5415,3,2,1,0,0,@ZaneIsClasker the fuck r u talking about I told u once and am going to tell u against nigga I love white bitch gtf bro
5427,3,2,1,0,0,@Zohdaa fags
5429,6,4,2,0,0,@Zwaaad fag
5433,3,3,0,0,0,"@_Andrizzy_ aw drake is, do you sit in the corner and cry when you listen to him? lmfao, pussy dick rider, how drakes cock taste faggot."
5449,3,3,0,0,0,@_C_Parris69_ your picture makes you look like a serious fag. #justsayin lol
5464,3,2,1,0,0,"@_GOLDwhippp faggots, old people, people who can't drive, drunk people"
5465,3,2,1,0,0,"@_IAMKEN fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit"
5466,3,2,1,0,0,"@_IAMKEN you'll make the team, them niggas trash. Lol"
5491,3,2,1,0,0,@_Nadiaxo fags
5507,3,2,1,0,0,"@_SoulSurvivor_ @zakbauer I dont have any problems with zak, but you seem like a faggot http://t.co/NbFAArxvRP"
5515,3,2,1,0,0,@_TriggaPlease_ @kanyewest he's a faggot
5517,3,2,1,0,0,@_TurnDownDre @Jordan__Grimes @kushdaddycorr @TRob_waddUP that's true idk why your even in this convo you dumb nigger attention whore
5519,3,2,1,0,0,@_TurnDownDre @kushdaddycorr lmao you stupid nigger
5524,3,2,1,0,0,@_XoXoKelsey_ hell naw fuck them bitches serves them right
5528,3,2,1,0,0,@__Black_Jesus yea I forgot I was talkin to a degenerate faggot
5538,3,2,1,0,0,@_____0__o______ faggot
5542,4,3,1,0,0,@__hannerr__ you're a faggot
5545,3,2,1,0,0,@_angelaaau hey fag i &lt;3 you
5549,3,2,1,0,0,"@_cblaze @Barbod6FCB @ODDBEAST Man bitch am not gonna do a damn thang, if u don't like what I got to say then unfollow me"
5555,3,3,0,0,0,@_elennamichelle nope not at all but I'm stuck in a house full of fucking niggers help me escape &#128553;
5564,3,2,1,0,0,@_jeff_hank @lgreiner3 @RayceWarden @BigJohn_Studd shut up nigger
5575,3,2,1,0,0,@_n1k_nak Status Report: Making a pit stop in Canada to rape bitches
5600,3,2,0,1,0,"@_westwest_yall @phampel WooHoo! New Black ""Kill Cracker babies"" Panthers to the rescue! #racist #trash #thugs #Ferguson #fergusonriot"
5601,3,2,1,0,0,"@_womanoverboard ""nigger"""
5616,3,2,1,0,0,@aasthaxoxo oh shut your mouth i was talkin about the morning you fag
5643,3,2,1,0,0,"@aldofelix naw dude I wish, they're white trash"
5648,3,2,1,0,0,@alexissert leave dyke
5663,3,2,1,0,0,@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded
5669,3,2,1,0,0,@alyssawiens faggot
5670,3,2,1,0,0,@amandabynes i can give you some of my clothes so you can look like a cute dyke
5671,3,2,1,0,0,@amarierubio chink eyed !
5688,3,2,1,0,0,"@aravosis May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F. @DLoesch"
5699,3,2,1,0,0,@ashhruggiero happy birthday queer
5707,3,2,1,0,0,@asshole_king oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.
5708,3,3,0,0,0,@asshole_king pats owner is a kike.
5709,3,3,0,0,0,@asshole_king with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.
5713,6,4,2,0,0,@atspace your 2. And 3. Nigga them hoes suck wayans brothers are not funny at all Jamie foxx should be number 2
5716,3,3,0,0,0,@austin_farrar your a fucking queer faggot bitch
5739,3,2,1,0,0,"@bad_boy_six @ksteven37 
Here ya go wetback, eat this.. http://t.co/kf6PgZvH5G"
5743,3,2,1,0,0,"@badshah200 Ur pal @STLAbuBadu threat2 ""apostate kufar""&gt;""I cld cut ur neck w/sword of islam &amp;watch u squeal like a bitch like Daniel Pearl"""
5758,3,2,0,1,0,@beesands10 But that's what you call white trash with money!!!!!
5759,3,2,1,0,0,@bellaangeletti no ud still be a fag if I was lolz
5760,3,2,1,0,0,@bellaangeletti ur a fag
5781,3,2,1,0,0,@bitchdicknigga you're a fucking nigger
5783,3,2,1,0,0,@bitchkrieg like the new AVI. My Twitter is retarded and shows you in the cubs hat but when I stalk your profile it show the new one
5793,3,2,1,0,0,@bnp We are being overrun by mongrels because ZOG or the Jews that run our countries want the white man to perish.
5800,3,2,1,0,0,@bonnoxxx haha bitch ima draw a webb in bullets round yo fuggin forehead #BeamThat bitch i know where you reside
5801,3,2,1,0,0,@bonnoxxx nah she said you a fag
5832,3,2,1,0,0,@brrrrangadang this nigga &#128529;&#128529;.. know damn well you a coon
5846,3,2,1,0,0,@cambreezy_ @TheLittleFella_ she spelled faggots with an e you're so cool lol
5862,3,3,0,0,0,@caykelly16 @MadisonEarhart u guys are fags.
5880,3,2,1,0,0,@chanelisabeth that nigger music
5892,3,2,1,0,0,@chemicalkidss this bitch look like a fucking white trash Trailer park queen lookin man bear pig. http://t.co/fqyXLJYIET
5913,9,5,0,4,0,"@clinchmtn316 @sixonesixband AMERICA today, the rule of thumb is: when in doubt, blame ""whitey"""
5918,3,2,1,0,0,@coffincreepxx you had to throw in the faggot word smh smh smh
5930,3,2,1,0,0,"@coughlan616 Youre racist against white people whigger. Anti-Racist is a codeword for anti-white.
Anti-zionist is a codeword for antisemite."
5973,3,2,1,0,0,@dantoomey2 fuck you faggot
5979,3,2,1,0,0,@darthdanaa Yes you do retard.
5987,6,4,2,0,0,@davidly62793584 how many fuckin fags did a even get? Shouldnt be allowed into my wallet whilst under the influence haha
5995,3,2,1,0,0,@delaney_guinan a faggot that needs to grow up
5998,3,2,1,0,0,@delaney_guinan you did a good job doing that to me and not texting back faggot
6002,3,2,1,0,0,@deno_5 @kaitlyninst0ne you're reading you coon
6003,3,2,1,0,0,"@densonkeith most of these people are followers of followers of truth, but they themselves are still niggers... their outlook, mind &amp; all."
6006,3,3,0,0,0,@denytheprophecy thanks for ignoring my texts fag
6025,3,2,1,0,0,"@dish_answers 
You gots da BET and da MSNBC wit dat colored reverend who only listen to coloreds. What else I missing?"
6032,3,2,1,0,0,@djfeds suck my dick tacos el negro better
6041,3,3,0,0,0,"@dolphrudager You don't have any kids?! What are you, one of them queers!?"
6051,3,2,1,0,0,"@drboycewatkins1 Coons and monkeys like you disgust me, you minstrel show negro. Crying about shit all the time you're a disgrace everywhere"
6054,3,3,0,0,0,"@drew4130 @mailgal2000
Y'all hire colored folk? Only work half da day and throw da mail in da sewer if we ain't done"
6081,3,2,1,0,0,@ehasselbeck @bi_politics teaching that pretend son to b a pussy! his son would have LACE ON HIS JOCK STRAP!
6082,3,2,1,0,0,@el_prietito @lovexlilyy Them jigaboos aka homewreckers needs to get blocked!
6088,3,3,0,0,0,@elchavaloko who cares tbh ones a shitty dirty Argentino &amp; the other is a feather fisted nigger
6109,3,2,0,1,0,"@erinscafe We hate the Yankees though, right? I feel like I'm really good at hating them."
6135,3,2,1,0,0,@femalejokerhoee yeah he sucks just like the other fags who are... oh nevermind there are NO fags in the #NFL
6137,3,2,0,1,0,"@feverspell @NYRKelsMads I'll do it! @1dgroupiegossip In the UK, ""Fag"" means cigarette and a ""faggot"" is a bundle of sticks, you homo."
6158,3,3,0,0,0,@fucktyler fuck you spear chucker
6160,3,2,1,0,0,@fucktyler me too Tyler it just makes me think that they're lil nigger baby hoodrats.
6176,3,2,1,0,0,@garrett_winker wow u hoe is the term for women
6177,3,2,1,0,0,"@gayle_ryan I don't hate the Japs. But, I AINT FORGETTING GETTIN JAPPED EITHER."
6180,3,3,0,0,0,"@gellebeaux_ whatever hoe bitch #1 them ""fags"" beat yall sad asses too"
6181,3,2,1,0,0,@genuineMitzi @NonVictional fags.!
6183,3,2,1,0,0,@georgiathenewsa @Rosaalbae your tits may be better looking but her face makes you like a Asian or Latina tranny #facts
6184,3,2,1,0,0,@georgiathenewsa you look like a welfare bitch compared to Latinas I date and fuck. You need fashion and makeup tips tbh
6188,3,3,0,0,0,@gezus__ @MANIAC3X @bam00se @Woody_AFC mean bro fucking faggot
6190,3,2,1,0,0,@gezus__ die in a car accident then faggot
6204,3,2,1,0,0,@godrocamora416 faggot
6213,3,2,1,0,0,@gonzalez_sassy ur not sassy white trash change ur username
6229,3,2,1,0,0,@gvvenivere learn how to type ya hillbilly
6232,3,2,0,1,0,@hand_tex @drapermark37 humans are evil man. Cutting tusks of these beautiful animals so chinks think the get a hard on.
6253,3,2,1,0,0,"@hekterr don't stop now half breed, I'm just starting to learn about what makes you a dumb ass"
6258,3,2,1,0,0,@hellootitty nigger
6267,3,3,0,0,0,@heyrmbr probs that fag Vhia
6269,3,3,0,0,0,@heyyayled do i have to repeat myself u white trash
6277,3,2,1,0,0,@holyh00ker he looks like a pretty dyke&#128129;&#10024;
6279,3,2,1,0,0,@hunterbuch66 @kieffer_jason @sbsylvester all u can pull is the fucking retard
6281,3,2,1,0,0,@hunterbuch66 @kieffer_jason @sbsylvester yo fat ugly ass couldn't even pull the ugly bitch in the school
6310,3,2,0,1,0,"@iNURSELISA @blackredsoxfan 
It's a nice way of callin y'all honkies"
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG"
13,3,0,3,0,1,""" bad bitches is the only thing that i like """
14,3,1,2,0,1,""" bitch get up off me """
15,3,0,3,0,1,""" bitch nigga miss me with it """
16,3,0,3,0,1,""" bitch plz whatever """
17,3,1,2,0,1,""" bitch who do you love """
18,3,0,3,0,1,""" bitches get cut off everyday B """
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """
20,3,0,3,0,1,""" broke bitch cant tell me nothing """
21,3,0,3,0,1,""" cancel that bitch like Nino """
22,3,0,3,0,1,""" cant you see these hoes wont change """
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;"
26,3,0,3,0,1,""" hoe what its hitting for """
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
35,3,0,3,0,1,""" is that ya bitch """
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots"
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """
41,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice"
44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """
45,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """
48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """
